cdm_name,omop_table,in_observation,variable_name,variable_level,time_interval,count,percentage,median,interval,name_observation_period,study_period_end,study_period_start,type
Barts Health,observation_period,overall,Person-days,NA,2012-01-01 to 2012-12-31,346085517,3.13,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2013-01-01 to 2013-12-31,414048795,3.74,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2014-01-01 to 2014-12-31,481537777,4.35,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2015-01-01 to 2015-12-31,557548265,5.04,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2016-01-01 to 2016-12-31,632390110,5.72,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2017-01-01 to 2017-12-31,695429131,6.29,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2018-01-01 to 2018-12-31,768449254,6.95,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2019-01-01 to 2019-12-31,838482102,7.58,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2020-01-01 to 2020-12-31,898179065,8.12,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2021-01-01 to 2021-12-31,941345182,8.51,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2022-01-01 to 2022-12-31,999853487,9.04,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2023-01-01 to 2023-12-31,1054441864,9.54,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2024-01-01 to 2024-12-31,1113166313,10.07,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2025-01-01 to 2025-12-31,1163209007,10.52,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2026-01-01 to 2026-12-31,153544012,1.39,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,overall,NA,NA,NA,years,NA,2026-02-16,2012-01-01,episode
Barts Health,visit_occurrence,overall,Number of records,NA,2012-01-01 to 2012-12-31,1481465,3.78,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,FALSE,Number of records,NA,2012-01-01 to 2012-12-31,2596,0.01,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,TRUE,Number of records,NA,2012-01-01 to 2012-12-31,1478869,3.78,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,overall,Number of records,NA,2012-01-01 to 2012-12-31,759386,2.57,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,FALSE,Number of records,NA,2012-01-01 to 2012-12-31,885,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,TRUE,Number of records,NA,2012-01-01 to 2012-12-31,758501,2.57,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,overall,Number of records,NA,2012-01-01 to 2012-12-31,373717,3.97,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,FALSE,Number of records,NA,2012-01-01 to 2012-12-31,12587,0.13,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,TRUE,Number of records,NA,2012-01-01 to 2012-12-31,361130,3.84,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,overall,Number of records,NA,2012-01-01 to 2012-12-31,8,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,TRUE,Number of records,NA,2012-01-01 to 2012-12-31,8,0,NA,years,NA,2026-02-16,2012-01-01,event
