cdm_name,omop_table,sex,age_group,variable_name,variable_level,time_interval,count,percentage,interval,study_period_end,study_period_start,date
Barts Health,observation_period,overall,overall,Number records in observation,NA,2012-01-01 to 2012-12-31,707713,21.87,years,2025-05-09,2012-01-01,2012-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2013-01-01 to 2013-12-31,815517,25.2,years,2025-05-09,2012-01-01,2013-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2014-01-01 to 2014-12-31,940318,29.06,years,2025-05-09,2012-01-01,2014-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2015-01-01 to 2015-12-31,1026402,31.72,years,2025-05-09,2012-01-01,2015-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2016-01-01 to 2016-12-31,1102703,34.08,years,2025-05-09,2012-01-01,2016-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2017-01-01 to 2017-12-31,1172274,36.23,years,2025-05-09,2012-01-01,2017-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2018-01-01 to 2018-12-31,1235066,38.17,years,2025-05-09,2012-01-01,2018-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2019-01-01 to 2019-12-31,1257269,38.85,years,2025-05-09,2012-01-01,2019-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2020-01-01 to 2020-12-31,1191053,36.81,years,2025-05-09,2012-01-01,2020-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2021-01-01 to 2021-12-31,1204622,37.23,years,2025-05-09,2012-01-01,2021-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2022-01-01 to 2022-12-31,1190914,36.8,years,2025-05-09,2012-01-01,2022-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2023-01-01 to 2023-12-31,1082597,33.46,years,2025-05-09,2012-01-01,2023-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2024-01-01 to 2024-12-31,945900,29.23,years,2025-05-09,2012-01-01,2024-01-01
Barts Health,observation_period,overall,overall,Number records in observation,NA,2025-01-01 to 2025-12-31,550245,17,years,2025-05-09,2012-01-01,2025-01-01
DataLoch,observation_period,overall,overall,Number records in observation,NA,2012-01-01 to 2012-12-31,1115061,63.23,years,2025-06-03,2012-01-01,2012-01-01
DataLoch,observation_period,overall,overall,Number records in observation,NA,2013-01-01 to 2013-12-31,1153549,65.42,years,2025-06-03,2012-01-01,2013-01-01
DataLoch,observation_period,overall,overall,Number records in observation,NA,2014-01-01 to 2014-12-31,1190835,67.53,years,2025-06-03,2012-01-01,2014-01-01
DataLoch,observation_period,overall,overall,Number records in observation,NA,2015-01-01 to 2015-12-31,1228851,69.69,years,2025-06-03,2012-01-01,2015-01-01
